Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE ARX (%),IE GBR POLY 60 40 2 (%),IE CatBoost POLY 60 40 2 (%),IE Random Forest 70 30 (%)
236.3,7.3,0.13,-1.83,105.19,20.99,-6.393,-3.206,4.7995,0.690461249,NaN,88.49144665,92.81670836,92.76281998,91.0537393
140.19,4.9,0.39,0.74,12.96,14.25,-5.338,6.799,-0.7305,0.63693664,NaN,85.56046921,86.17993215,85.08421529,86.79372524
380.4,2.8,1.22,-3.1,105.17,37.27,-5.975,-2.147,4.061,0.767763845,NaN,85.56320718,86.59807278,86.60143635,86.68030288
233.31,8.8,2.25,-3.1,38.33,26.21,-5.613,-1.624,3.6185,0.847706192,NaN,88.26250636,90.16518648,90.48544734,92.82783067
183.25,12,0.78,-1.2,46.17,19.95,-5.92,-1.605,3.7625,0.750289687,NaN,89.87577042,81.32316636,81.51008137,85.29710863
353.5,6.6,1.82,-3.2,57.5,40.41,-5.311,-2.295,3.803,1.060013263,NaN,90.3307883,92.15171742,92.14965725,91.5320901
267.36,9.7,2.15,-2.8,50.72,31.9,-5.584,-1.571,3.5775,0.852853227,94,88.67082317,92.60497465,92.5319923,91.5664377
454.4,4.7,-0.24,-3.4,210.54,44.54,-5.381,-2.885,4.133,1.148637821,NaN,92.33841555,91.81777417,92.7267192,91.66401342
211.26,9.2,0.57,-1.4,64.71,22.79,-5.06,-1.317,3.1885,1.018300828,NaN,88.82451594,88.51803066,88.51803066,88.00837061
171.15,2.6,-0.02,-1.5,83.87,15.82,-6.69,-3.179,4.9345,0.588293933,80,85.67709486,91.84475772,92.06382161,88.22527157
457.5,2.3,-3.3,-2.2,164.63,45.9,-5.324,-3.42,4.372,1.380252101,NaN,97.58844868,87.79115976,88.35886705,90.90592971
276.37,6.9,2.04,-2.8,45.33,32,-5.347,-1.571,3.459,0.937764831,NaN,87.5890287,92.8610303,92.78804794,92.95975399
414.5,2.7,2.29,-4.4,95.94,42.22,-6.083,-2.998,4.5405,0.797244733,NaN,86.66482158,91.73114232,91.77117553,90.23640895
311.4,7.8,1.68,-2.4,52.93,33.3,-5.346,-1.38,3.363,0.917044881,NaN,87.575058,94.23424872,94.16946756,91.13317061
327.4,7.94,1.62,-1.8,70,33.8,-5.465,-1.717,3.591,0.909551761,NaN,88.2481786,90.33353919,90.39795407,89.21958914
230.26,4.2,3.18,-4.16,46.53,24.81,-5.645,-2.515,4.08,0.932907348,93.14,88.01426663,93.21412547,93.21412547,93.35922812
122.12,3.35,-0.37,0.61,55.98,11.71,-6.091,-2.565,4.328,0.757799206,93.6,86.2524715,93.54323586,93.54323586,90.13013738
281.27,10.8,2.25,-3.8,87.28,27.59,-6.638,-3.765,5.2015,0.626000696,NaN,90.09560585,90.43922409,90.71071953,88.0946754
238.16,7.2,-0.47,-2.8,118.05,20.49,-6.456,-3.951,5.2035,0.717165669,97.6,89.15714134,97.5649489,97.5649489,94.48380511
612.6,4.3,3.26,-4.8,196.1,63.97,-5.352,-2.663,4.0075,1.112867237,NaN,90.8860148,93.40765871,93.40525561,93.39369457
269.4,8.4,3.77,-4,12.47,31.83,-5.27,-1.598,3.434,0.971132898,89.75,88.6739511,95.96712046,95.70784655,93.92475527
401.4,2.84,2.38,-3.7,112.74,39.61,-6.328,-2.347,4.3375,0.668801809,93.1,85.68572187,93.04696574,93.04696574,90.80560064
315.4,8.9,0.7,-1.8,59,32.79,-5.202,-1.526,3.364,0.989118607,NaN,88.91941237,88.44899461,87.7723137,88.8694377
324.4,-6,2.72,-3.73,60.85,35.14,-5.569,-1.932,3.7505,0.893456145,NaN,81.1714808,87.29073998,86.74758602,90.14887604
301.34,8.17,0.83,-1.1,70,30.77,-5.457,-1.506,3.4815,0.890534042,NaN,87.88676806,90.55281835,90.49329019,89.55619169
152.11,7.7,-1.7,-1.5,82.59,12.6,-6.411,-1.824,4.1175,0.628406366,NaN,88.33061451,89.16720091,89.1877494,88.86854633
460.4,3.27,-0.9,-3.14,201.85,43.22,-5.319,-3.063,4.191,1.245124113,NaN,93.95656414,92.1485181,92.95902511,91.20442109
339.4,5.9,3.08,-4.4,49.81,36.57,-5.647,-2.456,4.0515,0.924005014,91,88.70232924,91.20924788,91.20924788,91.30021406
285.4,8.88,4.64,-3.4,23.47,33.86,-5.003,-1.343,3.173,1.045628415,NaN,88.95197175,94.08899427,94.22181873,93.26513866
220.31,7.9,2.11,-2.8,41.13,25.98,-5.665,-1.47,3.5675,0.818235995,NaN,87.50710273,87.64839521,88.80267054,92.18921086
221.3,6.8,0.06,-3,53.16,25.88,-5.735,-2.058,3.8965,0.84403046,NaN,87.85598455,88.56890666,87.61691613,91.2488115
284.4,9.4,4.55,-4.3,6.48,32.74,-4.783,-1.515,3.149,1.178396573,NaN,91.19917155,95.39600617,95.21194697,92.73338466
259.34,9.5,3.48,-3.5,41.49,29.98,-5.48,-2.261,3.8705,0.972196334,NaN,90.7123672,93.98699714,94.08178082,93.65809585
165.23,9.9,0.89,-1.3,32.26,18.83,-5.929,-1.379,3.654,0.735384615,NaN,88.60861838,84.09377566,84.71091227,85.12438019
324.4,8.56,3.44,-3.37,45.59,35.82,-5.553,-2.507,4.03,0.975049245,NaN,90.78729846,94.84735697,95.24603369,92.02846645
608.7,6.6,3.53,-4.7,117.78,66.06,-4.905,-2.329,3.617,1.313276398,94,94.55208805,92.82212216,92.74093749,91.94691565
376.4,10.2,-1.46,-3.68,155.05,37.5,-6.119,-4.021,5.07,0.919923737,83.9,93.95419677,84.03360667,84.03360667,86.60053482
822.9,1.7,2.77,-4.3,220.15,86.46,-4.855,-2.808,3.8315,1.547874939,94.7,98.71163041,94.72205364,94.72205364,93.44802875
183.19,1.6,0.45,-1.4,63.24,16.02,-7.116,-3.929,5.5225,0.463602134,83.78,84.54322413,83.91518325,83.91518325,85.77304281
238.28,8,1.97,-2.3,75.27,24.33,-6.666,-2.413,4.5395,0.5785328,NaN,88.79614106,86.86775103,86.86775103,89.26421725
355.4,4.5,0.87,-3.3,125.46,33.41,-5.973,-2.884,4.4285,0.832470055,NaN,87.78658013,92.07328759,91.32577924,87.37492077
214.25,2.8,-0.52,-2.4,122.06,20.38,-5.926,-2.103,4.0145,0.780931206,67.7,85.54789593,68.1067689,68.1067689,74.66896166
264.31,7.1,0.14,-2.9,97.97,26.51,-6.425,-2.424,4.4245,0.643714071,84.5,88.01172074,87.55637855,86.91579202,89.07601853
280.31,6.8,0.23,-3,107.2,26.24,-5.911,-2.381,4.146,0.808498584,NaN,88.12181609,90.01988705,89.76991798,90.29076294
270.3,5.4,0.54,-2.41,97.97,26.26,-6.191,-2.539,4.365,0.721522453,NaN,87.18150308,89.51382309,89.53005506,89.34598594
253.28,5.6,0.89,2.62,98.22,24.99,-6.175,-2.495,4.335,0.724184783,91.6,87.26015277,95.27733206,95.37998115,90.1890869
172.21,10.4,-0.62,-1.36,86.18,16.25,-6.478,-2.445,4.4615,0.629432184,93.7,89.80058248,93.64024273,93.64024273,91.31259425
249.29,8.4,0.35,-2.7,85.08,24.97,-6.419,-2.478,4.4485,0.647424512,76.9,88.70218921,77.29225511,77.29225511,84.55368307
224.26,7.8,1.47,-2,75.27,22.48,-6.706,-2.467,4.5865,0.56935598,NaN,88.73538518,89.7667512,89.78389478,88.68185304
261.39,8.76,2.98,-2.8,19.37,29.57,-5.03,-1.703,3.3665,1.092125038,NaN,90.31478951,95.6408442,96.16554493,94.46894888
180.16,9.9,-0.78,-1.4,67.23,16.85,-5.863,-2.073,3.968,0.8,93,89.32405186,93.01272427,93.01272427,90.85680511
180.16,8.81,-0.02,-0.9,69.3,16.86,-5.884,-2.084,3.984,0.793684211,90.6,88.74056232,90.74253282,90.74253282,89.58610224
264.36,8.5,2.79,-2.7,41.57,31.9,-5.198,-1.886,3.542,1.044082126,NaN,90.09877701,91.49249248,91.69284644,92.95807029
242.34,7.5,2.85,-3.36,58.2,25.7,-6.133,-3.289,4.711,0.804852321,NaN,89.64864569,94.14753735,93.74200238,91.54706518
101.19,10.7,1.26,0.13,3.24,13.48,-5.082,6.665,-0.7915,0.66327573,NaN,86.74334485,89.04148636,89.36154682,85.5254984
388.5,8.3,2.29,-4,69.26,43.19,-5.315,-1.89,3.6025,0.991970803,NaN,89.45386072,91.94431172,91.91645861,91.65614952
290.32,7.2,0.91,-2.86,105.51,29.71,-5.374,-1.307,3.3405,0.899803295,92,87.05097318,92.05069825,92.05069825,91.56792332
255.36,9,3.3,-2.64,19.37,29.86,-5.047,-1.608,3.3275,1.067897645,NaN,89.91481573,96.58264947,96.40654236,94.04396166
121.14,8.1,-2.7,0.76,86.71,12.02,-6.125,6.373,-0.124,0.570011202,NaN,92.59789803,84.89609384,85.79814658,86.05754952
115.22,10.48,2,-1.5,26.02,15.63,-6.024,6.241,-0.1085,0.579576029,NaN,92.99963249,84.49282627,85.57674921,84.59351757
60.056,0.2,-2.11,0.96,69.11,5.1,-6.05,0.332,2.859,0.648856158,94.06,83.7045523,86.23560622,86.11618043,85.17439617
224.26,8,1.49,-2.6,75.27,22.77,-6.429,-2.347,4.388,0.639882411,NaN,88.4849703,86.04233277,86.04233277,87.35014058
825,5,2.82,-4.4,171.17,88.32,-4.885,-2.076,3.4805,1.252936988,NaN,91.7758835,92.55093433,92.57518588,92.71339808
685.7,10.3,-11,-2.8,390.36,66.95,-5.505,-2.252,3.8785,0.959575776,NaN,90.98155591,89.48410021,89.37128463,90.68714696
308.3,5.1,2.7,-3.89,63.6,31.93,-6.042,-2.842,4.442,0.799375,93.484,87.75567793,93.48824071,93.48824071,91.60963962
141.17,141.17,0.38,-0.15,46.17,14.45,-6.403,-1.847,4.125,0.631035996,NaN,,81.16538189,81.24731095,86.16986262
75.07,75.07,-3.21,0.87,63.32,6.65,-6.339,-0.773,3.556,0.618756737,80,,80.25565391,80.25565391,84.10217252
339.6,339.6,5.74,4.8,32.5,107.4,-4.945,5.854,-0.4545,0.690295398,NaN,,85.28140062,85.26738133,87.73580831
442.4,2.21,-3.5,-2.6,181.62,41.95,-5.089,-3.714,4.4015,1.889818182,NaN,,89.41852066,90.49215307,90.80163898
250.28,6.5,-0.09,-3.51,97.97,24.39,-4.165,-2.126,3.1455,1.890387445,94,,89.76504215,89.41491241,91.40341534
