Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE% Prediction GBR POLY 60:40,IE% Prediction catBost POLY 60:40,Random Forest 70:30
285.4,8.88,4.64,-3.4,23.47,33.86,-5.003,-1.343,3.173,1.045628415,,94.04146841,94.17557826,93.20964
220.31,7.9,2.11,-2.8,41.13,25.98,-5.665,-1.47,3.5675,0.818235995,,87.53854097,88.70398671,92.1233
221.3,6.8,0.06,-3,53.16,25.88,-5.735,-2.058,3.8965,0.84403046,,88.46796059,87.50675726,91.1738
284.4,9.4,4.55,-4.3,6.48,32.74,-4.783,-1.515,3.149,1.178396573,,95.36112881,95.17528839,92.67274
259.34,9.5,3.48,-3.5,41.49,29.98,-5.48,-2.261,3.8705,0.972196334,,93.93848421,94.03418515,93.6064
165.23,9.9,0.89,-1.3,32.26,18.83,-5.929,-1.379,3.654,0.735384615,,83.94952188,84.57263078,84.9901
324.4,8.56,3.44,-3.37,45.59,35.82,-5.553,-2.507,4.03,0.975049245,,94.8071701,95.20970498,91.961
608.7,6.6,3.53,-4.7,117.78,66.06,-4.905,-2.329,3.617,1.313276398,94,92.76233624,92.68036591,91.87866
376.4,10.2,-1.46,-3.68,155.05,37.5,-6.119,-4.021,5.07,0.919923737,83.9,83.8887706,83.8887706,86.48054
822.9,1.7,2.77,-4.3,220.15,86.46,-4.855,-2.808,3.8315,1.547874939,94.7,94.68065416,94.68065416,93.3943
183.19,1.6,0.45,-1.4,63.24,16.02,-7.116,-3.929,5.5225,0.463602134,83.78,83.76920115,83.76920115,85.64504
238.28,8,1.97,-2.3,75.27,24.33,-6.666,-2.413,4.5395,0.5785328,,86.75034217,86.75034217,89.17
355.4,4.5,0.87,-3.3,125.46,33.41,-5.973,-2.884,4.4285,0.832470055,,92.00625489,91.25151259,87.26242
214.25,2.8,-0.52,-2.4,122.06,20.38,-5.926,-2.103,4.0145,0.780931206,67.7,67.80780215,67.80780215,74.4335
264.31,7.1,0.14,-2.9,97.97,26.51,-6.425,-2.424,4.4245,0.643714071,84.5,87.44563382,86.79884807,88.97998
280.31,6.8,0.23,-3,107.2,26.24,-5.911,-2.381,4.146,0.808498584,,89.93298273,89.68059461,90.20648
270.3,5.4,0.54,-2.41,97.97,26.26,-6.191,-2.539,4.365,0.721522453,,89.42202138,89.43841043,89.25256
253.28,5.6,0.89,2.62,98.22,24.99,-6.175,-2.495,4.335,0.724184783,91.6,95.24130625,95.34494871,90.10382
172.21,10.4,-0.62,-1.36,86.18,16.25,-6.478,-2.445,4.4615,0.629432184,93.7,93.58837411,93.58837411,91.2382
249.29,8.4,0.35,-2.7,85.08,24.97,-6.419,-2.478,4.4485,0.647424512,76.9,77.08218016,77.08218016,84.41388
224.26,7.8,1.47,-2,75.27,22.48,-6.706,-2.467,4.5865,0.56935598,,89.67739718,89.69470667,88.582
261.39,8.76,2.98,-2.8,19.37,29.57,-5.03,-1.703,3.3665,1.092125038,,95.60833624,96.13811472,94.4251
180.16,9.9,-0.78,-1.4,67.23,16.85,-5.863,-2.073,3.968,0.8,93,92.95478289,92.95478289,90.778
180.16,8.81,-0.02,-0.9,69.3,16.86,-5.884,-2.084,3.984,0.793684211,90.6,90.66262184,90.66262184,89.495
264.36,8.5,2.79,-2.7,41.57,31.9,-5.198,-1.886,3.542,1.044082126,,91.41983918,91.62213205,92.8996
242.34,7.5,2.85,-3.36,58.2,25.7,-6.133,-3.289,4.711,0.804852321,,94.10057804,93.69111854,91.47494
"101,19",10.7,1.26,0.13,3.24,13.48,-5.082,6.665,-0.7915,0.66327573,,88.94511364,89.26827146,85.3951
388.5,8.3,2.29,-4,69.26,43.19,-5.315,-1.89,3.6025,0.991970803,,91.87603087,91.84790821,91.58508
290.32,7.2,0.91,-2.86,105.51,29.71,-5.374,-1.307,3.3405,0.899803295,92,91.98344695,91.98344695,91.496
255.36,9,3.3,-2.64,19.37,29.86,-5.047,-1.608,3.3275,1.067897645,,96.55925576,96.38144438,93.996
121.14,8.1,-2.7,0.76,86.71,12.02,-6.125,6.373,-0.124,0.570011202,,84.75960442,85.67038671,85.9323
115.22,10.48,2,-1.5,26.02,15.63,-6.024,6.241,-0.1085,0.579576029,,84.35243426,85.44684678,84.4541
60.056,0.2,-2.11,0.96,69.11,5.1,-6.05,0.332,2.859,0.648856158,94.06,86.11207983,85.99149831,85.0406
224.26,8,1.49,-2.6,75.27,22.77,-6.429,-2.347,4.388,0.639882411,,85.91693599,85.91693599,87.2374
825,5,2.82,-4.4,171.17,88.32,-4.885,-2.076,3.4805,1.252936988,,92.48852402,92.51301026,92.65256
"685,7",10.3,-11,-2.8,390.36,66.95,-5.505,-2.252,3.8785,0.959575776,,89.39201085,89.27810351,90.6067
308.3,5.1,2.7,-3.89,63.6,31.93,-6.042,-2.842,4.442,0.799375,93.484,93.4349011,93.4349011,91.53812
141.17,141.17,0.38,-0.15,46.17,14.45,-6.403,-1.847,4.125,0.631035996,,80.99278881,81.07551073,86.0457
75.07,75.07,-3.21,0.87,63.32,6.65,-6.339,-0.773,3.556,0.618756737,80,80.07425701,80.07425701,83.958
339.6,339.6,5.74,4.8,32.5,107.4,-4.945,5.854,-0.4545,0.690295398,,85.14863998,85.13448503,87.6268
442.4,2.21,-3.5,-2.6,181.62,41.95,-5.089,-3.714,4.4015,1.889818182,,89.32579667,90.40981907,90.7223
250.28,6.5,-0.09,-3.51,97.97,24.39,-4.165,-2.126,3.1455,1.890387445,94,89.67567159,89.3221535,91.3299
