Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE% Prediction GBR POLY 60:40,IE% Prediction catBost POLY 60:40,Random Forest 70:30
394.5,8,1,,51.2,,-4.885,-1.363,3.124,1.100511073,98.4,90.26035094,90.53574155,89.5698
288.4,8.1,3.6,-3.5,32.4,34.19,-5.294,-1.399,3.3465,0.937997433,,90.47727348,90.41604253,92.72834
212.25,7.9,1.5,-2.2,75.27,21.41,-6.681,-2.444,4.5625,0.57528912,,89.17403329,89.17403329,86.0528
194.23,8.4,3.57,-2.6,46.53,21.45,-6.283,-2.25,4.2665,0.677783288,,87.18027882,87.05189878,86.2658
1321.4,10.62,-9.609,,378.42,66.56,-5.529,-2.256,3.8925,0.949434769,,88.31625106,88.86188637,89.9241
182.65,4.8,-3.78,-2.4,53.32,16.08,-6.248,1.892,2.178,0.592383292,,88.23910168,88.40522599,84.4811
378.4,3.11,1.13,-3,124.01,36.39,-6.451,-2.139,4.295,0.627319109,,92.33869778,92.5743684,88.6428
570.8,6.7,6.4,-5.9,117.97,64.99,-5.779,-2.333,4.056,0.854323854,,92.02264352,91.95817729,91.6011
347.4,3.6,0.6,-3.1,112.73,32.52,-5.914,-2.024,3.969,0.779177378,76.9,77.02266586,77.02266586,81.29222
405.4,2.5,-0.3,-3.4,139.03,37.64,-6.071,-2.858,4.4645,0.789137877,,91.84291079,91.84291079,87.86776
415.5,3.4,1.9,-4.8,96.91,41.49,-5.31,-3.426,4.368,1.397027601,,89.9461426,90.5932412,91.57896
396.4,2.4,-0.41,-3.9,113.01,37.22,-6.109,-2.801,4.455,0.769347037,92,91.94286197,91.94286197,90.60194
423.5,2.15,-0.1,-3.4,125.9,40.63,-6.255,-2.889,4.572,0.721330957,82.5,82.64236092,82.64236092,86.2522
454.5,2.3,-0.58,-3,156.09,41.44,-6.126,-2.967,4.5465,0.776669832,93.9,93.8695169,93.8695169,91.038
349.4,2.6,0.7,-2.6,112.73,33.19,-5.82,-2.612,4.216,0.867830424,95,94.9014892,94.9014892,91.8388
266.4,8.2,3,-3.6,6.48,31.53,-5.114,-1.62,3.367,1.039782484,,94.05568814,93.91747013,93.6588
236.27,7.5,1.96,-2.5,75.27,23.94,-6.386,-2.357,4.3715,0.652395135,,86.0334573,85.99235156,87.97874
141.25,3.5,2.86,-2.5,12.03,18,-5.468,5.648,-0.09,0.637819359,,82.58513644,81.42039781,83.9661
291.4,7.9,2.4,-2.3,49.77,32.51,-5.404,-1.675,3.5395,0.927996782,,93.08234604,93.08234604,91.515
102.09,4.5,-0.9,0.93,64.35,8.87,-5.811,-0.82,3.3155,0.738228812,,87.30437601,87.35683753,89.5169
252.34,6.8,0.4,-1.35,88.89,27.47,-5.68,-0.732,3.206,0.766774454,97.9,97.81115071,97.81115071,93.2156
294.4,8.3,2.82,-2.9,36.36,33.1,-5.803,-2.681,4.242,0.883408072,,94.57058244,95.09858339,93.03328
343.5,8.5,4.4,-3.7,"54,46",40.78,-5.323,-2.722,4.0225,1.144752018,,94.70910513,94.81740329,92.8052
243.22,4.3,-2.8,-0.74,128.61,22.21,-6,-2.193,4.0965,0.762674022,,91.18599672,91.12649103,87.43234
192.12,2.79,-1.64,0.51,132.13,15.54,-6.612,-1.975,4.2935,0.58367479,99,98.97019909,98.97019909,92.3451
303.35,8.4,2.3,-2.23,55.84,32.36,-5.581,-2.486,4.0335,0.958481422,93.6,93.56416909,93.56416909,92.31426
299.4,7.9,1.39,-1.52,41.93,31.95,-5.096,-1.131,3.1135,0.980201765,,89.15765738,89.12047294,89.3713
399.4,1.7,1.07,-4.2,83.09,42.41,-5.49,-2.897,4.1935,1.082337061,95,86.34655669,86.06104439,91.7939
182.18,4.42,-0.24,-2.1,99.73,17.78,-5.117,-2.287,3.702,1.165371025,,83.78154765,83.67888403,87.60084
314.25,7.5,1.7,-3.6,120.73,29.98,-6.054,-3.773,4.9135,0.914730381,,91.2966015,90.62564401,87.80172
248.301,2.41,0.97,-2.82,86.18,25.05,-5.83,-2.107,3.9685,0.814262691,,82.05187301,81.91676374,89.00748
527.5,8.2,1.83,-2.9,185.84,52.94,-5.866,-4.011,4.9385,1.111320755,,88.72097935,89.06558944,91.42282
175.23,11.9,0.75,-2.3,53.11,19.48,-5.449,-1.498,3.4735,0.892558846,,89.43424774,88.53264044,85.4422
402.5,5,3.37,-4.8,88.5,44.81,-6.07,-2.33,4.2,0.748663102,,86.63338549,86.74807479,88.9928
578.7,6.68,3.3,-4.7,109,62.59,-4.921,-2.424,3.6725,1.332599119,,93.54092835,93.45895802,91.88076
266.4,10.2,4.9,-3.66,15.27,31.74,-5.032,-1.448,3.24,1.049107143,,93.65082621,93.42670132,92.542
271.4,8.3,3.6,-4.5,12.47,31.77,-4.974,-1.342,3.158,1.057819383,,93.89123258,93.74894102,93.1919
392.5,7,3.61,-4.4,32.78,44.36,-4.943,-1.676,3.3095,1.12962963,,95.03292611,94.73892129,92.34634
105.14,8.9,-1.43,0.65,52.49,11.63,-5.798,6.52,-0.361,0.597580776,88.7,83.44660973,83.46019436,86.3616
73.14,11,0.76,0.54,12.03,9.72,-5.505,6.84,-0.6675,0.621101661,80.61,80.64560696,80.64560696,82.9747
255.35,9,3.27,-3.5,12.47,29.86,-5.274,-1.63,3.452,0.973655324,,94.48459223,94.14593362,94.3648
452.6,7.1,6.3,-5.5,53.33,51.58,-5.114,-1.829,3.4715,1.07412481,,92.86552334,92.87380697,91.6712
301.4,8.8,1.55,,41.93,32.79,-4.857,-1.198,3.0275,1.085679147,,91.93953834,91.39350537,90.9593
563.7,6.91,2.33,-3.2,118.21,62,-5.13,-1.555,3.3425,1.023076923,,92.23431081,92.3254105,92.06264
577.7,6.89,5.9,-3.3,118.21,64.05,-5.057,-1.748,3.4025,1.087186461,,92.49147353,92.57431775,92.2643
611.7,6.89,5.86,-4.1,121.7,67.82,-5.122,-1.631,3.3765,1.037954741,,93.19913964,93.26652775,92.2832
583.7,6.9,2.4,-3.4,118.21,63.3,-5.394,-1.743,3.5685,0.939879485,,91.98280034,92.08087575,92.17744
583.6,8,-8.2,-1.6,334.59,56.06,-5.337,0.181,2.578,0.801377311,88.5,86.12310433,86.36162827,88.982
354.5,4.9,2.7,-3.5,97.99,40.86,-6.02,-1.077,3.5485,0.698260166,,86.24914877,86.58713878,88.55814
504.6,6.4,1.5,-2.7,145.44,56.94,-4.344,-1.826,3.085,1.554805401,,90.41012925,89.86088312,90.83324
339.5,8.36,2.58,-3.8,59.22,38.82,-4.824,-2.135,3.4795,1.309222759,,92.04839143,92.01162865,91.64866
279.4,8,4.3,-3.9,12.5,32.47,-5.25,-2.06,3.655,1.048589342,,95.25017753,94.8705507,92.99488
444.4,3.09,-0.7,-2.8,182,43.65,-5.693,-3.454,4.5735,1.083742742,95.9,90.98393312,90.91274624,90.67484
270.37,9.2,2.5,-2.7,25.4,31.09,-5.266,-1.839,3.5525,1.005981908,,95.14026475,95.90349129,93.1158
543.5,9.46,1.27,-2.7,206.07,53.87,-5.859,-4.004,4.9315,1.11509434,,90.09319472,90.4378048,90.33712
165.23,9.6,1.13,-1.3,32.3,18.8,-5.886,-1.35,3.618,0.745590829,84,84.07235652,84.07235652,85.59324
480.6,9.11,4.7,-5.2,52.19,54.92,-4.838,-1.303,3.0705,1.111598303,93.09,93.04146472,93.04146472,92.3995
183.2,8.59,-1.37,-0.99,72.7,19.04,-5.488,-1.342,3.415,0.864688857,,91.96107141,91.46689764,88.0436
266.3,9.8,3.5,-4.7,"37,3",30.1,-5.633,-2.502,4.0675,0.936601725,,90.23171646,90.43755618,91.50178
325.4,7.3,0.9,-3,68.36,36.54,-5.437,-2.32,3.8785,1.001443696,,90.03399417,90.21452836,91.02064
581.7,6.3,2,-3.4,118,62.23,-5.212,-2.358,3.785,1.126489138,,92.4182228,92.52842057,92.06286
733.9,8.88,2.6,-3.2,193.91,78.21,-5.336,-2.008,3.672,1,,91.53169906,91.68136255,92.31048
303.35,7.6,0.98,-1.7,62.3,31.41,-5.181,-1.876,3.5285,1.050378215,86,86.05237446,86.05237446,87.6141
332.35,6.95,-2.3,-0.35,130,33.39,-5.158,-1.917,3.5375,1.068343104,,88.98158691,88.18047494,88.246
296.4,10.7,3.67,-4.3,"40,5",34.53,-5.573,-1.306,3.4395,0.834426998,,85.48572608,86.44800552,90.57788
204.31,9.55,-0.3,-1.4,64.5,24.47,-5.922,5.882,0.02,0.591324975,,83.18080619,84.06067216,84.7008
61.08,9.5,-1.31,1.14,46.2,6.63,-5.957,6.913,-0.478,0.581041181,,82.80244203,83.6464821,85.4066
45.08,10.7,-0.13,0.9,26,5.75,-6.042,7.222,-0.59,0.572225573,96.4,81.5482513,82.33167449,86.0776
276.4,7.7,4.46,-3.2,"32,3",33.47,-5.382,-1.42,3.401,0.908379606,,90.96606369,90.88409448,92.89984
261.36,8.69,2.8,-2.7,29.5,29.92,-5.082,-1.524,3.303,1.039066892,,95.78352774,96.36307623,93.8892
258.3,8.1,2.01,-3.81,82.28,25.27,-6.384,-3.101,4.7425,0.687633262,,86.2665929,85.3162015,88.22632
179.22,2.2,1.58,-2.37,38.33,19.82,-5.294,-1.523,3.4085,0.952399894,,88.98381635,88.28933346,84.5109
321.5,8.5,4.08,-4.6,23.47,37.92,-5.153,-1.424,3.2885,0.995307053,,93.40981428,93.21256543,92.54934
191.27,7.6,2.17,-1.9,12.47,22.18,-5.333,-1.42,3.3765,0.926015845,,95.93809282,96.02646885,88.4958
364.4,2.7,1.33,-3,95.94,36.74,-5.996,-1.884,3.94,0.744163424,,86.61553195,86.72802913,88.02424
205.26,11.8,-0.83,-3,97.78,22.14,-5.109,-1.197,3.153,0.983384458,,87.66059181,87.24834055,86.059
308.4,4.4,3.16,-3.81,40.62,34.15,-5.769,-1.9,3.8345,0.81817007,,92.02411352,92.03657121,92.11086
167.2,8.97,-0.31,-0.88,52.49,18.2,-5.812,-1.381,3.5965,0.768111036,88,84.68877489,84.57594438,88.7407
121.18,9.8,1.41,-1.7,26.02,14.35,-6.132,-1.393,3.7625,0.683161004,,91.27758339,91.30887701,88.7533
151.21,9.4,0.67,-0.87,46.25,16.89,-6.154,-1.388,3.771,0.677507344,,88.65060746,88.35483239,88.5462
255.35,9.1,3.51,-3.8,12.47,29.99,-5.284,-1.549,3.4165,0.959437751,,96.31664895,96.02752833,94.4248
261.4,8.3,3.62,-4,3.24,31.13,-5.232,-1.947,3.5895,1.038203957,,95.32579957,95.04305464,93.64624
214.26,5.9,"1,92","-2,4",45.15,"23,71",-5.657,-1.602,3.6295,0.831196054,,92.56741736,92.56741736,87.7738
240.34,9.3,2.98,-2.8,16.13,28.41,-5.183,-1.723,3.453,1.025144509,98,97.92656802,97.92656802,95.383
252.27,8.3,2.47,-3.6,58.2,58.2,-6.445,-2.016,4.2305,0.625310454,89.4,90.47029546,90.79713941,89.23494
177.24,8.5,1.79,-1.9,21.26,20.1,-5.56,-1.398,3.479,0.845987506,,95.91352951,96.55604418,87.4128
232.23,7.5,1.47,-2.9,75.27,22.62,-6.72,-2.502,4.611,0.566382172,95,94.90020658,94.90020658,91.4838
