iter	RMSE
0	6.413492859
1	6.367951861
2	6.31102043
3	6.277532924
4	6.227976261
5	6.205225107
6	6.169337385
7	6.122653144
8	6.079232689
9	6.037442615
10	6.008042362
11	5.991099296
12	5.949663155
13	5.92197978
14	5.884372717
15	5.857197616
16	5.816952958
17	5.776957665
18	5.730185586
19	5.686408674
20	5.654446511
21	5.623866878
22	5.579731891
23	5.550858138
24	5.520044632
25	5.500125125
26	5.483343792
27	5.453183915
28	5.438094247
29	5.402389863
30	5.371429719
31	5.33918472
32	5.309739275
33	5.275702472
34	5.254770795
35	5.240022466
36	5.219643495
37	5.195811424
38	5.160613059
39	5.125754662
40	5.090821958
41	5.065058724
42	5.026913801
43	4.987495517
44	4.966020768
45	4.925047065
46	4.896143867
47	4.874235466
48	4.860324813
49	4.825366256
50	4.80128738
51	4.766834155
52	4.739038305
53	4.72608804
54	4.703981591
55	4.691715236
56	4.668035675
57	4.657707613
58	4.632306816
59	4.612536213
60	4.595345515
61	4.573664616
62	4.558192053
63	4.528467865
64	4.501755827
65	4.474882088
66	4.455276782
67	4.437797621
68	4.41046978
69	4.390561009
70	4.368881926
71	4.350887308
72	4.324645932
73	4.298580477
74	4.273443239
75	4.249516229
76	4.229261211
77	4.213944822
78	4.195498185
79	4.172989356
80	4.141061041
81	4.123934823
82	4.104350386
83	4.086317672
84	4.07097653
85	4.049307851
86	4.030252343
87	4.016047471
88	4.004612645
89	3.993113071
90	3.974104879
91	3.951078402
92	3.939473684
93	3.929398193
94	3.916462483
95	3.895268618
96	3.877170891
97	3.860936765
98	3.837138304
99	3.826015082
100	3.804178224
101	3.782161803
102	3.766707408
103	3.743817051
104	3.729387328
105	3.725424234
106	3.70325438
107	3.688809469
108	3.667407286
109	3.654518819
110	3.643425063
111	3.635925495
112	3.611556821
113	3.600528999
114	3.576107833
115	3.563215327
116	3.54068966
117	3.53720662
118	3.52641707
119	3.512593595
120	3.508285107
121	3.492700068
122	3.483708234
123	3.46221446
124	3.438628544
125	3.424581021
126	3.409138815
127	3.388619682
128	3.374289242
129	3.351698287
